time,temp,humidity
2025-11-25 00:00:00,17.9,84
2025-11-25 01:00:00,17.8,84
2025-11-25 02:00:00,18.4,85
2025-11-25 03:00:00,21.4,81
2025-11-25 04:00:00,23.5,75
2025-11-25 05:00:00,25.1,66
2025-11-25 06:00:00,27.0,56
2025-11-25 07:00:00,27.7,53
2025-11-25 08:00:00,28.3,49
2025-11-25 09:00:00,28.3,48
2025-11-25 10:00:00,27.8,48
2025-11-25 11:00:00,27.0,51
2025-11-25 12:00:00,25.6,57
2025-11-25 13:00:00,23.7,66
2025-11-25 14:00:00,22.3,71
2025-11-25 15:00:00,21.2,75
2025-11-25 16:00:00,20.4,79
2025-11-25 17:00:00,19.9,81
2025-11-25 18:00:00,19.8,81
2025-11-25 19:00:00,19.3,82
2025-11-25 20:00:00,18.9,83
2025-11-25 21:00:00,18.4,85
2025-11-25 22:00:00,18.0,86
2025-11-25 23:00:00,17.7,88
2025-11-26 00:00:00,17.5,89
2025-11-26 01:00:00,17.3,90
2025-11-26 02:00:00,18.0,90
2025-11-26 03:00:00,21.4,78
2025-11-26 04:00:00,23.6,71
2025-11-26 05:00:00,25.4,63
2025-11-26 06:00:00,26.7,57
2025-11-26 07:00:00,27.5,54
2025-11-26 08:00:00,27.8,51
2025-11-26 09:00:00,27.8,51
2025-11-26 10:00:00,27.4,51
2025-11-26 11:00:00,26.6,53
2025-11-26 12:00:00,25.1,58
2025-11-26 13:00:00,23.2,69
2025-11-26 14:00:00,22.1,74
2025-11-26 15:00:00,21.3,77
2025-11-26 16:00:00,20.4,80
2025-11-26 17:00:00,19.8,82
2025-11-26 18:00:00,19.4,82
2025-11-26 19:00:00,19.0,83
2025-11-26 20:00:00,18.4,85
2025-11-26 21:00:00,18.0,87
2025-11-26 22:00:00,17.9,87
2025-11-26 23:00:00,17.6,88
2025-11-27 00:00:00,17.0,92
2025-11-27 01:00:00,17.0,94
2025-11-27 02:00:00,17.9,94
2025-11-27 03:00:00,20.8,85
2025-11-27 04:00:00,23.0,76
2025-11-27 05:00:00,24.6,67
2025-11-27 06:00:00,25.9,60
2025-11-27 07:00:00,26.9,54
2025-11-27 08:00:00,27.2,51
2025-11-27 09:00:00,27.3,50
2025-11-27 10:00:00,27.0,50
2025-11-27 11:00:00,26.4,52
2025-11-27 12:00:00,24.8,58
2025-11-27 13:00:00,22.8,69
2025-11-27 14:00:00,21.6,75
2025-11-27 15:00:00,20.7,79
2025-11-27 16:00:00,20.2,81
2025-11-27 17:00:00,20.0,80
2025-11-27 18:00:00,19.7,81
2025-11-27 19:00:00,19.2,82
2025-11-27 20:00:00,18.8,84
2025-11-27 21:00:00,18.4,86
2025-11-27 22:00:00,18.1,87
2025-11-27 23:00:00,18.0,86
2025-11-28 00:00:00,17.9,83
2025-11-28 01:00:00,17.8,80
2025-11-28 02:00:00,17.9,79
2025-11-28 03:00:00,20.5,69
2025-11-28 04:00:00,22.7,60
2025-11-28 05:00:00,24.7,53
2025-11-28 06:00:00,26.1,49
2025-11-28 07:00:00,27.2,45
2025-11-28 08:00:00,28.1,40
2025-11-28 09:00:00,28.4,38
2025-11-28 10:00:00,28.2,37
2025-11-28 11:00:00,27.4,35
2025-11-28 12:00:00,25.3,39
2025-11-28 13:00:00,23.0,46
2025-11-28 14:00:00,21.4,50
2025-11-28 15:00:00,20.1,54
2025-11-28 16:00:00,19.4,56
2025-11-28 17:00:00,18.8,59
2025-11-28 18:00:00,18.3,61
2025-11-28 19:00:00,17.7,64
2025-11-28 20:00:00,17.5,63
2025-11-28 21:00:00,17.1,63
2025-11-28 22:00:00,17.1,62
2025-11-28 23:00:00,16.6,62
2025-11-29 00:00:00,16.3,63
2025-11-29 01:00:00,16.7,64
2025-11-29 02:00:00,17.5,64
2025-11-29 03:00:00,18.8,63
2025-11-29 04:00:00,20.8,58
2025-11-29 05:00:00,23.3,52
2025-11-29 06:00:00,25.4,46
2025-11-29 07:00:00,26.8,41
2025-11-29 08:00:00,27.8,37
2025-11-29 09:00:00,28.2,34
2025-11-29 10:00:00,27.6,33
2025-11-29 11:00:00,26.4,34
2025-11-29 12:00:00,24.9,36
2025-11-29 13:00:00,23.1,41
2025-11-29 14:00:00,21.0,47
2025-11-29 15:00:00,19.4,52
2025-11-29 16:00:00,18.4,55
2025-11-29 17:00:00,17.8,58
2025-11-29 18:00:00,17.4,60
2025-11-29 19:00:00,17.1,61
2025-11-29 20:00:00,17.0,61
2025-11-29 21:00:00,16.9,62
2025-11-29 22:00:00,16.6,63
2025-11-29 23:00:00,16.4,65
2025-11-30 00:00:00,16.5,66
2025-11-30 01:00:00,16.8,66
2025-11-30 02:00:00,17.4,65
2025-11-30 03:00:00,18.6,63
2025-11-30 04:00:00,20.7,57
2025-11-30 05:00:00,23.4,50
2025-11-30 06:00:00,25.5,44
2025-11-30 07:00:00,26.4,42
2025-11-30 08:00:00,26.7,41
2025-11-30 09:00:00,26.5,42
2025-11-30 10:00:00,25.8,45
2025-11-30 11:00:00,24.7,49
2025-11-30 12:00:00,23.5,53
2025-11-30 13:00:00,22.5,57
2025-11-30 14:00:00,21.4,62
2025-11-30 15:00:00,20.5,65
2025-11-30 16:00:00,19.9,66
2025-11-30 17:00:00,19.5,67
2025-11-30 18:00:00,19.2,67
2025-11-30 19:00:00,17.9,63
2025-11-30 20:00:00,17.7,64
2025-11-30 21:00:00,17.5,65
2025-11-30 22:00:00,17.1,67
2025-11-30 23:00:00,16.7,69
2025-12-01 00:00:00,16.6,69
2025-12-01 01:00:00,17.1,67
2025-12-01 02:00:00,17.9,63
2025-12-01 03:00:00,19.2,59
2025-12-01 04:00:00,21.4,53
2025-12-01 05:00:00,24.0,47
2025-12-01 06:00:00,26.1,41
2025-12-01 07:00:00,27.4,37
2025-12-01 08:00:00,28.2,34
2025-12-01 09:00:00,28.4,32
2025-12-01 10:00:00,27.7,33
2025-12-01 11:00:00,26.4,35
2025-12-01 12:00:00,24.9,38
2025-12-01 13:00:00,23.2,43
2025-12-01 14:00:00,21.3,49
2025-12-01 15:00:00,19.8,54
2025-12-01 16:00:00,19.0,57
2025-12-01 17:00:00,18.6,59
2025-12-01 18:00:00,18.2,60
2025-12-01 19:00:00,17.7,62
2025-12-01 20:00:00,17.2,63
2025-12-01 21:00:00,16.8,64
2025-12-01 22:00:00,16.3,65
2025-12-01 23:00:00,16.0,66
